epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4148,1.5447,1.9618,1.25717,0.65687,0.48211,0.46805,0.21722,1.62243,2.24504,1.70232,0.000328042,0.000328042,0.000328042
2,91.0941,1.56598,1.29887,1.27622,0.44687,0.52468,0.4649,0.20854,1.7601,2.23507,1.88379,0.000654828,0.000654828,0.000654828
3,129.798,1.59014,1.28844,1.28756,0.55594,0.49213,0.47808,0.22002,1.69096,3.14472,1.72299,0.000975014,0.000975014,0.000975014
4,169.28,1.5894,1.24939,1.29953,0.63791,0.53414,0.53815,0.24943,1.6136,1.79506,1.54458,0.0009703,0.0009703,0.0009703
5,209.429,1.5666,1.16211,1.27366,0.7195,0.62954,0.68577,0.34463,1.5582,1.67185,1.5216,0.0009604,0.0009604,0.0009604
6,250.105,1.54658,1.12034,1.25507,0.59812,0.60023,0.6043,0.29403,1.52592,1.3876,1.49778,0.0009505,0.0009505,0.0009505
7,289.896,1.52592,1.1105,1.2669,0.77175,0.6386,0.69231,0.37439,1.44315,1.22522,1.40897,0.0009406,0.0009406,0.0009406
8,331.606,1.48798,1.10667,1.25606,0.7859,0.66017,0.7034,0.36714,1.54312,1.34233,1.49759,0.0009307,0.0009307,0.0009307
9,370.988,1.467,1.00084,1.21767,0.72281,0.72544,0.74236,0.39242,1.49978,1.23549,1.44642,0.0009208,0.0009208,0.0009208
10,411.752,1.45417,1.02149,1.23056,0.82604,0.65986,0.74468,0.41739,1.44358,1.10665,1.36785,0.0009109,0.0009109,0.0009109
11,453.265,1.42524,0.97923,1.2216,0.72073,0.73116,0.73396,0.3987,1.4829,1.15637,1.48539,0.000901,0.000901,0.000901
12,493.607,1.43842,0.99239,1.21383,0.78596,0.77966,0.7959,0.44437,1.41431,0.99566,1.38203,0.0008911,0.0008911,0.0008911
13,535.408,1.42224,0.95661,1.20049,0.82973,0.7402,0.78459,0.44475,1.4341,0.99552,1.35482,0.0008812,0.0008812,0.0008812
